D3-CIA-SS1,(system_state) The container image is labeled with vulnerability and misconfiguration results.,Analyzing a Container Image with respect to a set of policies.
D3-HDL-SS2,(system_state) The blacklist is updated to include homoglyph variants of trusted domains.,Blocking DNS queries that are deceptively similar to legitimate domain names.
D3-FRIDL-I1,(input) The client does not receive the IP address if it is found in the blacklist.,Blocking a DNS lookup's answer's IP address value.
D3-FRIDL-SS2,(system_state) The system logs the attempt to resolve a blacklisted IP address.,Blocking a DNS lookup's answer's IP address value.
D3-RRID-I1,(input) Reverse DNS query is dropped if the IP address matches a denylisted range.,Blocking a reverse lookup based on the query's IP address value.
D3-RRID-SS2,(system_state) Prevents clients from obtaining domain names associated with denylisted IPs.,Blocking a reverse lookup based on the query's IP address value.
D3-RRID-SS3,(system_state) Reduces adversaries’ ability to exploit reverse DNS for discovering domain infrastructure.,Blocking a reverse lookup based on the query's IP address value.
D3-ET-I1,(input) The system uses encrypted routing interfaces to route network traffic.,Encrypted encapsulation of routable network traffic.
D3-ET-SS2,(system_state) Outgoing traffic from the system is encapsulated in encrypted tunnels.,Encrypted encapsulation of routable network traffic.
D3-ITF-I1,(input) All inbound traffic is checked for compliance with defined policy.,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-ITF-SS2,"(system_state) Packets from disallowed IPs or ports are dropped, protecting internal services.",Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-ITF-SS3,(system_state) The edge device maintains enforcement of the inbound filtering policy.,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-EF-I1,(input) Spam or malicious emails are blocked before reaching the inbox.,Filtering incoming email traffic based on specific criteria.
D3-EF-SS2,(system_state) Email filtering action logs are generated.,Filtering incoming email traffic based on specific criteria.
D3-OTF-I1,(input) Outbound traffic events are logged for auditing or enforcement purposes.,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-OTF-SS2,"(system_state) Outbound traffic is restricted according to the policy, reducing internal asset exposure to external threats.",Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-CHN-I1,(input) The honeynet becomes active and visible on the network.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-SS2,(system_state) Interaction with the honeynet is logged for analysis.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-SS3,(system_state) Log entry created for the interaction attempt.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-SS4,(system_state) Alert is raised for unauthorized or suspicious honeynet access.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-IHN-I1,(input) The decoy is deployed within the production environment and indistinguishable from real systems.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-SS2,(system_state) Full attacker behavior is logged for analysis.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-SS3,(system_state) Detected privilege escalation or lateral movement attempts.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-SS4,(system_state) Comprehensive logs created for attacker interactions.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-SS5,(system_state) Alerts are raised for suspicious movement or traffic interception.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-SHN-I1,(input) The standalone honeynet is deployed and ready for attacker interaction.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-SS2,(system_state) Attacker behavior is recorded in the honeynet environment.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-SS3,(system_state) Activity within the honeynet is logged with relevant details.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-SS4,(system_state) Insights are generated based on attacker behavior for future threat mitigation.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-DF-I1,(input) The decoy file is deployed and ready for adversary interaction.,A file created for the purposes of deceiving an adversary.
D3-DF-SS2,(system_state) Access to the decoy file is detected and logged for analysis.,A file created for the purposes of deceiving an adversary.
D3-DF-SS3,(system_state) A log entry is created for the file access attempt.,A file created for the purposes of deceiving an adversary.
D3-DF-SS4,(system_state) A security alert is raised upon access to the decoy file.,A file created for the purposes of deceiving an adversary.
D3-DNR-I1,(input) The decoy network resource is live and accessible on the network.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-SS2,(system_state) Interactions with the decoy resource are observed and logged.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-SS3,(system_state) Each interaction is logged with relevant details.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-SS4,(system_state) Alerts are raised based on suspicious or repeated use of the decoy resource.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DP-I1,(input) The decoy persona is online and available to engage with adversaries.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-SS2,(system_state) Adversary interactions with the persona are observed and recorded.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-SS3,(system_state) All communication with the persona is logged.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-SS4,(system_state) Alerts are generated when adversaries reveal tactics or intentions during engagement.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DPR-I1,(input) The decoy media is published and accessible to adversaries.,Issuing publicly released media to deceive adversaries.
D3-DPR-SS2,"(system_state) Interactions with the media (e.g., clicks, messages) are observed and logged.",Issuing publicly released media to deceive adversaries.
D3-DPR-SS3,(system_state) Each access or response to the media is recorded with relevant metadata.,Issuing publicly released media to deceive adversaries.
D3-DPR-SS4,(system_state) An alert is raised if sensitive indicators or high-value interactions are detected.,Issuing publicly released media to deceive adversaries.
D3-DST-I1,(input) The decoy session token is deployed and discoverable.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-SS2,(system_state) Any use of the decoy token is logged and flagged.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-SS3,(system_state) A log entry is created for each token use attempt.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-SS4,(system_state) An alert is triggered if the token is used by an unauthorized entity.,An authentication token created for the purposes of deceiving an adversary.
D3-DUC-I1,(input) The credential is now part of the monitored environment and accessible to adversaries.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-SS2,(system_state) Any use of the decoy credential is detected and tracked.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-SS3,(system_state) All usage attempts are recorded with relevant metadata.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-SS4,"(system_state) Alert is generated when decoy credentials are used, possibly initiating containment or further monitoring.",A Credential created for the purpose of deceiving an adversary.
D3-SYSVA-SS1,(system_state) System-wide vulnerabilities and risks have been assessed and documented.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-SS2,(system_state) A system-level vulnerability profile is now available for mitigation planning.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-ANCI-I1,(input) The specified cached authentication token or credential is deleted from the cache.,Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-ANCI-SS2,"(system_state) The user is required to reauthenticate, as no valid cached credentials remain.",Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-ANCI-SS3,(system_state) An audit log entry is recorded documenting the removal of cached credentials.,Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-CR-I1,(input) The credential is removed from the system and cannot be used for authentication.,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-CR-SS2,(system_state) Any attempt to use the revoked credential is rejected by the authentication system.,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-CR-SS3,(system_state) An audit log entry is generated to record the credential revocation event.,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-DKE-I1,(input) The data on the disk has been securely erased and cannot be recovered.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKE-SS2,(system_state) An audit entry is created to record the disk erasure event.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKE-SS3,(system_state) The asset management system is updated to reflect the disk's new state.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKP-I1,(input) A new disk partition is created successfully.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-I2,(input) Data within the new partition is logically separated from other partitions.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-SS3,(system_state) The disk's partition table is updated to reflect the new partition layout.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-SS4,(system_state) A log entry is created to document the partitioning operation.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DNSCE-I1,(input) All cached DNS records are removed from the local resolver.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-I2,(input) All subsequent domain resolutions require fresh queries to authoritative DNS servers.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-SS3,(system_state) An audit log entry is created documenting the cache eviction event.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-SS4,(system_state) A security alert is raised if eviction was triggered by detection of DNS poisoning.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DRT-I1,(input) The registrar suspends or disables the domain registration.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-I2,(input) The domain can no longer be used for malicious communications such as C2 or phishing.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-SS3,(system_state) An official abuse complaint is submitted to the registrar or host.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-SS4,(system_state) Relevant government or intelligence agencies are informed for threat intelligence sharing.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-ER-I1,(input) The email is deleted from storage and no longer accessible to the user.,The email removal technique deletes email files from system storage.
D3-ER-I2,(input) User access to the malicious or suspicious content is prevented.,The email removal technique deletes email files from system storage.
D3-ER-SS3,(system_state) A log is recorded documenting the removal of the email.,The email removal technique deletes email files from system storage.
D3-ER-SS4,(system_state) An alert or ticket may be created to initiate further investigation or response.,The email removal technique deletes email files from system storage.
D3-RKD-I1,(input) The registry key is successfully removed from the system.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-I2,(input) Any persistence mechanism linked to the key is neutralized.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-SS3,(system_state) The deletion of the registry key is logged for auditing purposes.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-SS4,(system_state) The system’s configuration state or snapshot is updated to reflect the deletion.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-HR-I1,"(input) The contents of RAM are cleared, terminating all in-memory threats or artifacts.",Initiating a host's reboot sequence to terminate all running processes.
D3-HR-I2,"(input) All processes, including malicious or unauthorized ones, are shut down.",Initiating a host's reboot sequence to terminate all running processes.
D3-HR-SS3,(system_state) The host is restarted and reinitializes services according to startup configuration.,Initiating a host's reboot sequence to terminate all running processes.
D3-HR-SS4,(system_state) An audit record is created to document the reboot event.,Initiating a host's reboot sequence to terminate all running processes.
D3-PS-I1,(input) The target process is paused and execution is halted.,Suspending a running process on a computer system.
D3-PS-I2,(input) The suspicious or malicious behavior is temporarily stopped by suspending the process.,Suspending a running process on a computer system.
D3-PS-SS3,(system_state) An audit record is created to log the process suspension event.,Suspending a running process on a computer system.
D3-PS-SS4,(system_state) A security alert or notification may be raised based on the action taken.,Suspending a running process on a computer system.
D3-PT-I1,(input) The identified process is forcefully ended and removed from memory.,Terminating a running application process on a computer system.
D3-PT-I2,(input) Any malicious behavior associated with the terminated process is stopped.,Terminating a running application process on a computer system.
D3-PT-SS3,(system_state) A log entry is created documenting the termination event for auditing purposes.,Terminating a running application process on a computer system.
D3-PT-SS4,(system_state) A security alert or case may be triggered due to the process termination.,Terminating a running application process on a computer system.
D3-ST-I1,(input) The identified session is terminated and removed from active memory.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-I2,(input) Any attempts to reuse the terminated session are blocked by the system.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-SS3,(system_state) A log entry is recorded to document the forced session termination.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-SS4,(system_state) A security alert or case may be generated for incident handling or investigation.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-RIC-I1,(input) A new credential is generated and issued to the user.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-I2,(input) The old credential is permanently disabled or removed from the system.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-SS3,(system_state) A log entry is created for the credential reissuance event.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-SS4,(system_state) Access control records are updated to reflect the new credential.,Issue a new credential to a user which supersedes their old credential.
D3-RNA-I1,(input) The entity's ability to connect to the network is reinstated.,Restoring an entity's access to a computer network.
D3-RNA-I2,(input) The entity can send and receive data on the network again.,Restoring an entity's access to a computer network.
D3-RNA-SS3,(system_state) Network control configurations are updated to allow access for the entity.,Restoring an entity's access to a computer network.
D3-RNA-SS4,(system_state) An audit entry is created for the restoration of network access.,Restoring an entity's access to a computer network.
D3-ULA-I1,"(input) The locked status on the account is cleared, allowing authentication.",Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-I2,(input) The user is permitted to log in and access resources based on current permissions.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-SS3,(system_state) An audit entry is created for the unlock action.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-SS4,(system_state) A notification may be sent to the user or administrator indicating that the account has been unlocked.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-RC-I1,(input) The configuration of the component is reverted to a known-good state.,Restoring a software configuration.
D3-RC-I2,(input) All unauthorized or misaligned configuration changes are removed.,Restoring a software configuration.
D3-RC-SS3,(system_state) An audit entry is created documenting the configuration restoration.,Restoring a software configuration.
D3-RC-SS4,(system_state) The current configuration state is updated in system records or CMDB.,Restoring a software configuration.
D3-RD-I1,(input) The database is restored from backup to a known-good state.,Restoring the data in a database.
D3-RD-I2,(input) Applications and users regain access to database services and contents.,Restoring the data in a database.
D3-RD-SS3,(system_state) An audit log records the database restoration event.,Restoring the data in a database.
D3-RD-SS4,(system_state) The backup management system records the usage of a backup for restoration.,Restoring the data in a database.
D3-RDI-I1,(input) The disk is overwritten with the selected image and restored to its captured state.,Restoring a previously captured disk image to a hard drive.
D3-RDI-I2,(input) The host system is returned to a trusted baseline environment.,Restoring a previously captured disk image to a hard drive.
D3-RDI-SS3,(system_state) The restoration event is logged for auditing and forensic traceability.,Restoring a previously captured disk image to a hard drive.
D3-RDI-SS4,(system_state) The system’s status in asset or configuration management tools is updated to reflect reimaging.,Restoring a previously captured disk image to a hard drive.
D3-RE-I1,(input) The email is reinstated to the user's mailbox or designated folder.,Restoring an email for an entity to access.
D3-RE-I2,"(input) The user is able to open, read, and interact with the restored email.",Restoring an email for an entity to access.
D3-RE-SS3,(system_state) A log entry is created documenting the email restoration event.,Restoring an email for an entity to access.
D3-RE-SS4,(system_state) The system reflects that the email has been successfully restored and is no longer quarantined or archived.,Restoring an email for an entity to access.
D3-RS-I1,(input) The software is successfully reinstalled and operational on the host.,Restoring software to a host.
D3-RS-I2,(input) Users or systems are again able to access and use the restored software.,Restoring software to a host.
D3-RS-SS3,(system_state) An audit record is created logging the restoration of the software.,Restoring software to a host.
D3-RS-SS4,(system_state) The host’s configuration records are updated to reflect the current state of the restored software.,Restoring software to a host.
