D3-CIA-I1,(input) The container image must be available for analysis.,Analyzing a Container Image with respect to a set of policies.
D3-CTS-C3,(config) Credential scoping policy must be configured to define allowed relying parties.,Limiting the transmission of a credential to a scoped set of relying parties.
D3-LFAM-I1,"(input) A subject (e.g., process/user) must issue a request to access a specific local file.",Local file access mediation is the process of an operating system granting or denying a specific access request to a local file.
D3-LFAM-I2,"(input) The operating system must be able to retrieve the metadata (e.g., permissions, ownership) of the target file.",Local file access mediation is the process of an operating system granting or denying a specific access request to a local file.
D3-LFAM-C3,"(config) The system must have defined access control policies that determine how file access decisions are made (e.g., ACLs, DAC, MAC).",Local file access mediation is the process of an operating system granting or denying a specific access request to a local file.
D3-PAM-I1,"(input) The subject must possess a valid credential (e.g., badge, smart card) recognized by the access control system.","Physical access mediation is the process of granting or denying specific requests to enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances)."
D3-PAM-I2,(input) The subject must initiate a request to access a specific physical facility at a given time.,"Physical access mediation is the process of granting or denying specific requests to enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances)."
D3-PAM-C3,(config) A policy must exist defining which credentials grant access to which facilities and the access control system must be operational.,"Physical access mediation is the process of granting or denying specific requests to enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances)."
D3-PBWSAM-I1,(input) The web server to which access is to be mediated must be identified.,"Regulation of web server access through intermediary proxy servers, enhancing control, anonymity, and enforcement of access policies."
D3-PBWSAM-I2,(input) A user request to access a web resource must be intercepted or routed through the proxy.,"Regulation of web server access through intermediary proxy servers, enhancing control, anonymity, and enforcement of access policies."
D3-PBWSAM-C3,(config) A proxy server must be configured to mediate requests to the target web server with defined access policies.,"Regulation of web server access through intermediary proxy servers, enhancing control, anonymity, and enforcement of access policies."
D3-EBWSAM-I1,(input) The endpoint device must possess a valid client certificate for identification.,Regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.
D3-EBWSAM-I2,(input) The endpoint device must have active and updated endpoint security software installed.,Regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.
D3-EBWSAM-C3,(config) The web server must be configured to validate endpoint certificates and enforce device compliance.,Regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.
D3-WSAM-I1,(input) User attempting to access a web session must have verifiable credentials.,"Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-WSAM-I2,(input) A user has initiated a request to access a protected web resource or application.,"Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-WSAM-C3,"(config) The web system must have an authentication mechanism (e.g., 2FA, SSO) configured and active.","Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-WSAM-C4,"(config) The system must enforce a session management policy (e.g., token expiration, inactivity timeout).","Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-RFAM-I1,(input) The identity of the remote user must be verified via credentials or certificates.,Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
D3-RFAM-I2,"(input) The remote access device must be authenticated, e.g., through device certificates.",Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
D3-RFAM-C3,(config) Secure file access protocols must be configured and encrypted; access policies and user permissions must be defined.,Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
D3-RAM-I1,(input) A valid VPN configuration must be available for secure routing.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-I2,(input) The network stack must support tunneling protocols such as GRE or IPSec.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-C3,(config) Firewall access control rules must be defined to filter unauthorized traffic.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-C4,"(config) Packet inspection (e.g., CBAC) must be enabled to monitor traffic flows.","A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-C5,(config) Routing policies must be configured to direct traffic through secure paths.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-LAMED-I1,"(input) The identity of the device (e.g., MAC address or certificate) must be known to the system.","LAN access mediation encompasses the application of strict access control policies, systematic verification of devices, and authentication mechanisms to govern connectivity to a Local Area Network."
D3-LAMED-I2,(input) The identity of the user attempting network access must be verifiable through authentication credentials.,"LAN access mediation encompasses the application of strict access control policies, systematic verification of devices, and authentication mechanisms to govern connectivity to a Local Area Network."
D3-LAMED-C3,"(config) 802.1X must be enabled on switches, a RADIUS server must be reachable and configured, port security must be configured, and Access Control Lists (ACLs) must exist.","LAN access mediation encompasses the application of strict access control policies, systematic verification of devices, and authentication mechanisms to govern connectivity to a Local Area Network."
D3-IOPR-I1,(input) Device is connected to an IO port.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-I2,"(input) Device type has been identified (e.g., storage, keyboard).",Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-C3,(config) Agent software is installed on the host system.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-C4,(config) Allow/deny list is configured for device types and/or file types.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-C5,(config) Hardware USB filter or similar restriction device is installed on the IO port.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-DTP-I1,(input) The system or administrator must have access to domain trust settings within Active Directory or equivalent.,Restricting inter-domain trust by modifying domain configuration.
D3-DTP-I2,(input) The system must first identify existing domain trust relationships to evaluate and restrict them appropriately.,Restricting inter-domain trust by modifying domain configuration.
D3-DTP-C3,(config) Modifying trust settings requires elevated privileges typically held by domain administrators.,Restricting inter-domain trust by modifying domain configuration.
D3-LFP-I1,"(input) The system must identify the file and its current permissions, owner, and group association.",Restricting access to a local file by configuring operating system functionality.
D3-LFP-I2,(input) The system must have a policy or rule set indicating which users or groups should be allowed or denied access.,Restricting access to a local file by configuring operating system functionality.
D3-LFP-C3,"(config) The host OS must support and allow changing file permission attributes (e.g., via chmod, ACLs, or registry).",Restricting access to a local file by configuring operating system functionality.
D3-UAP-I1,"(input) The system must identify the user account and its current role, privileges, and context of use.",Restricting a user account's access to resources.
D3-UAP-I2,(input) The access policy must specify which actions the user is allowed or denied for each resource.,Restricting a user account's access to resources.
D3-UAP-C3,"(config) The system must support enforcement of permission policies (e.g., via OS-level ACLs, AD group policies, IAM).",Restricting a user account's access to resources.
D3-CNE-I1,"(input) The system must have access to the content in a form that allows inspection, such as an email, document, or file stream.","Removing specific, potentially malicious, parts of content."
D3-CNE-C2,"(config) There must be preconfigured rules, policies, or signatures that define what elements should be removed.","Removing specific, potentially malicious, parts of content."
D3-CNE-C3,"(config) The system must have tools or logic to not only inspect, but also alter content based on detected patterns.","Removing specific, potentially malicious, parts of content."
D3-CFC-I1,(input) The system must have access to the original file or content in a format suitable for transformation.,Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CFC-C2,"(config) The system must know how to transform the original format into the target format, including what metadata or components to preserve or strip.",Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CFC-C3,(config) The system must be capable of executing the format conversion without losing critical semantic content or introducing errors.,Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CNR-I1,"(input) The original content must be parseable into discrete elements such as text, images, metadata, macros, etc.",Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNR-C2,(config) A canonical format/schema must be defined to determine which components are allowed and how content must be reconstructed.,Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNR-C3,(config) The system must be capable of reconstructing content from components while filtering out unnecessary or unsafe parts.,Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNS-I1,(input) The digital object must be accessible for analysis and eligible for modification.,Modifies specific digital content information by replacing it with something else.
D3-CNS-C2,"(config) The system must define what content is replaceable, the criteria for doing so, and what to replace it with.",Modifies specific digital content information by replacing it with something else.
D3-CNS-C3,"(config) The system must be capable of programmatically replacing content based on rules, while preserving overall content integrity.",Modifies specific digital content information by replacing it with something else.
D3-CQ-I1,"(input) The content must be detected as potentially harmful or policy-violating through scanning, signature matching, or heuristics.",Transfer content that does not comply with policy to a quarantine zone.
D3-CQ-C2,(config) The system must have active rules determining when content should be quarantined and what handling procedures apply.,Transfer content that does not comply with policy to a quarantine zone.
D3-CQ-C3,(config) The system must have a dedicated and secure area to store quarantined items.,Transfer content that does not comply with policy to a quarantine zone.
D3-FFV-I1,(input) The file must be accessible by the system in a readable form for format validation.,Verifying that a file conforms to its expected format specifications.
D3-FFV-I2,"(input) The intended format (e.g., PDF, DOCX, EXE) must be known to validate conformance against it.",Verifying that a file conforms to its expected format specifications.
D3-FFV-C3,(config) The system must have access to a formal specification or validator for the given file format.,Verifying that a file conforms to its expected format specifications.
D3-FCDC-I1,"(input) The file must include identifiable segments (e.g., JPEG DCT sections, ZIP entries) expected to be compressed or encoded.",Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FCDC-C2,"(config) The system must have access to the necessary decoder (e.g., zlib, base64, JPEG, LZMA) to extract the original data.",Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FCDC-C3,(config) The system must establish upper bounds to avoid processing decompression bombs or denial-of-service inputs.,Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FISV-I1,(input) The file must be present and in a readable state for structural analysis.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FISV-C2,"(config) The system must have access to the file format specification, including locations and expected values of structural elements.","The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FISV-C3,(config) A parser capable of locating and interpreting the relevant static fields must be enabled for the file type.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMCV-I1,(input) The file must be available to the system and capable of being parsed to extract both metadata and payload.,"The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMCV-C2,"(config) The system must know where and how to locate metadata fields such as content length, pointers, and CRC/checksums.","The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMCV-C3,"(config) The validation engine must be capable of resolving and recalculating metadata fields (e.g., parsing CRCs, verifying offsets).","The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMVV-I1,(input) The file must be available and readable to extract and analyze metadata fields.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMVV-C2,(config) The system must have knowledge of which fields are expected and what values they should contain for a given file type.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMVV-C3,(config) The system must be capable of extracting and interpreting static field values from the file.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMBV-I1,(input) The file must be present and readable to access its header bytes.,Utilizing the magic number to verify the file.
D3-FMBV-C2,(config) The system must know the expected magic number(s) corresponding to the declared or inferred file type.,Utilizing the magic number to verify the file.
D3-FMBV-C3,(config) The system must support functionality to read the leading bytes and compare them with the expected value.,Utilizing the magic number to verify the file.
D3-ABPI-I1,"(input) The application must track execution contexts (e.g., tabs, iframes, subroutines) to enforce separation.",Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-ABPI-C2,"(config) The application must be designed to segment execution environments internally (e.g., via sandboxes, separate DOMs, etc.).",Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-ABPI-C3,"(config) Policies must be in place that define what memory, state, or resource access is allowed or denied between components.",Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-EAL-I1,(input) The file in question must be present on the system and accessible for signature validation before execution.,Using a digital signature to authenticate a file before opening.
D3-EAL-I2,(input) The file must contain or reference a digital signature that can be used for authenticity checks.,Using a digital signature to authenticate a file before opening.
D3-EAL-C3,(config) The system must have access to trusted certificate authorities (CAs) and mechanisms to validate the digital signature.,Using a digital signature to authenticate a file before opening.
D3-EDL-I1,"(input) The system must inspect attributes such as file name, hash, publisher, permissions, and path.",Blocking the execution of files on a host in accordance with defined application policy rules.
D3-EDL-C2,(config) Administrators must define and deploy rules that determine which files are denied execution.,Blocking the execution of files on a host in accordance with defined application policy rules.
D3-EDL-C3,"(config) The system must actively monitor and intercept process execution attempts, typically at the kernel level.",Blocking the execution of files on a host in accordance with defined application policy rules.
D3-HBPI-I1,(input) Each process must have a separate virtual address space to ensure isolation.,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-HBPI-C2,"(config) The hardware platform must support and enable memory isolation mechanisms such as MMU, IOMMU, or DMA controls.",Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-HBPI-C3,(config) The operating system must correctly configure and manage access controls based on the available hardware features.,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-KBPI-I1,(input) Processes must be managed by the kernel scheduler and resource manager for isolation to be enforced.,Using kernel-level capabilities to isolate processes.
D3-KBPI-C2,"(config) The kernel must implement native features such as namespaces, control groups (cgroups), or SELinux/AppArmor policies for process isolation.",Using kernel-level capabilities to isolate processes.
D3-KBPI-C3,"(config) Isolation mechanisms must be correctly configured (e.g., containerization, restricted IPC, file access policies).",Using kernel-level capabilities to isolate processes.
D3-BDI-I1,"(input) The system must know the identity (e.g., MAC/IP address) of the host whose broadcast domain is to be restricted.",Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-BDI-I2,(input) The network must be able to detect or intercept broadcast traffic originating from hosts.,Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-BDI-C3,(config) SDN rules or network encapsulation policies must be in place to isolate or redirect broadcast traffic.,Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-BDI-C4,"(config) The infrastructure (virtual or physical switches, hypervisors, routers, etc.) must support broadcast filtering/isolation features.",Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-DNSAL-I1,(input) A curated list of allowed domains and subdomains must be available to enforce DNS allowlisting.,Permitting only approved domains and their subdomains to be resolved.
D3-DNSAL-I2,(input) The system must be able to configure and enforce resolution rules on the DNS resolver.,Permitting only approved domains and their subdomains to be resolved.
D3-DNSAL-C3,(config) The system’s DNS policy framework must support allowlist-based domain resolution filtering.,Permitting only approved domains and their subdomains to be resolved.
D3-FRDDL-I1,(input) A DNS query has been issued for a domain name.,Blocking a lookup based on the query's domain name value by filtering DNS queries using a denylist of unauthorized FQDNs.
D3-FRDDL-I2,(input) The queried domain is listed as unauthorized.,Blocking a lookup based on the query's domain name value by filtering DNS queries using a denylist of unauthorized FQDNs.
D3-FRDDL-C3,(config) DNS denylisting is enabled in the system configuration.,Blocking a lookup based on the query's domain name value by filtering DNS queries using a denylist of unauthorized FQDNs.
D3-HDDL-I1,(input) The domain to be blocked must be known.,Blocking the resolution of any subdomain of a specified domain name.
D3-HDDL-I2,(input) The system must be actively resolving DNS queries for the domain or subdomains.,Blocking the resolution of any subdomain of a specified domain name.
D3-HDDL-C3,(config) A denylist system must be configured to apply hierarchical rules and be kept up to date.,Blocking the resolution of any subdomain of a specified domain name.
D3-HDL-I1,(input) The system has access to the domain name being queried in the DNS request.,Blocking DNS queries that are deceptively similar to legitimate domain names.
D3-HDL-I2,(input) The system maintains a list of known legitimate domain names for comparison.,Blocking DNS queries that are deceptively similar to legitimate domain names.
D3-HDL-C3,"(config) The system is configured with Unicode-aware homoglyph detection, a blacklist lookup mechanism, and a maintenance policy for updating blacklists.",Blocking DNS queries that are deceptively similar to legitimate domain names.
D3-FRIDL-I1,(input) The system must have access to DNS forward resolution responses containing IP addresses.,Blocking a DNS lookup's answer's IP address value.
D3-FRIDL-I2,(input) The system must be able to inspect IP addresses included in DNS responses.,Blocking a DNS lookup's answer's IP address value.
D3-FRIDL-C3,(config) A blacklist of IP ranges must be configured to identify malicious addresses.,Blocking a DNS lookup's answer's IP address value.
D3-RRID-I1,"(input) The system must be able to collect reverse DNS queries, which contain IP addresses.",Blocking a reverse lookup based on the query's IP address value.
D3-RRID-I2,(input) The system must be able to extract IP address values from the reverse DNS queries.,Blocking a reverse lookup based on the query's IP address value.
D3-RRID-C3,(config) A maintained and up-to-date blacklist must be available to check against the extracted IPs.,Blocking a reverse lookup based on the query's IP address value.
D3-RRID-C4,"(config) The system must be able to observe DNS traffic, even over encrypted channels like DoH/DoT.",Blocking a reverse lookup based on the query's IP address value.
D3-ET-I1,(input) The system must have routable network traffic.,Encrypted encapsulation of routable network traffic.
D3-ET-I2,"(input) A tunneling protocol (e.g., IPsec, SSH, TLS) must be configured on the system.",Encrypted encapsulation of routable network traffic.
D3-ET-C3,(config) Encryption mechanisms or keys must be available and initialized on the system.,Encrypted encapsulation of routable network traffic.
D3-ITF-I1,(input) The filtering device must be able to observe the source IP of the inbound connection.,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-ITF-I2,(input) The port or service being accessed on the internal host must be known for filtering.,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-ITF-C3,(config) Filtering rules must exist specifying which inbound traffic should be allowed or denied.,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-EF-I1,(input) Inbound email traffic must be observable and scannable.,Filtering incoming email traffic based on specific criteria.
D3-EF-I2,"(input) Email content must be accessible for analysis (e.g., subject, body, headers).",Filtering incoming email traffic based on specific criteria.
D3-EF-C3,(config) Email filtering policies must be defined and deployed.,Filtering incoming email traffic based on specific criteria.
D3-OTF-I1,(input) The IP address of the internal host must be known to apply outbound filtering.,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-OTF-I2,(input) The destination network must be classified as untrusted to trigger filtering.,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-OTF-C3,(config) The firewall must be configured and outbound filtering rules must be defined either on the host or at the network gateway.,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-CHN-I1,(input) A subnet or VLAN must be available and configurable to host decoy systems.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-I2,(input) The emulation parameters must be preconfigured to mimic enterprise-like functionality.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-I3,(input) Logging mechanisms must be active to record attacker interaction.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-C4,(config) Access rules must allow inbound traffic to the honeynet.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-CHN-C5,(config) Honeynet must be isolated from critical production systems.,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-IHN-I1,(input) Sufficient computing resources must exist to host decoy services indistinguishable from production.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-I2,(input) The honeynet must be connected to the actual production environment.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-I3,(input) Logging tools must be active to capture attack interactions.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-C4,(config) Firewall rules must allow the honeynet to interact within the production network.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-C5,(config) Detection mechanisms must be enabled to monitor for logging tampering or disabling.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-IHN-C6,(config) Configuration must be in place to detect packet sniffing or unauthorized traffic capture.,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-SHN-I1,(input) A separate and secure network segment must be available to host the honeynet.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-I2,(input) Honeypot hosts or services must be provisioned in the isolated environment.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-I3,(input) Tools or content must be configured to mimic vulnerabilities and attract attackers.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-C4,(config) Firewall and routing policies must enforce total isolation from production systems.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-C5,(config) Monitoring systems must be active to log attacker behavior in the honeynet.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-SHN-C6,(config) The honeynet must emulate legitimate services or behavior to attract attackers.,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-DF-I1,(input) The contents of the decoy file must be created to appear legitimate and attractive to an attacker.,A file created for the purposes of deceiving an adversary.
D3-DF-I2,(input) The system must support monitoring access to the decoy file.,A file created for the purposes of deceiving an adversary.
D3-DF-I3,(input) A valid location must exist for the deployment of the decoy file.,A file created for the purposes of deceiving an adversary.
D3-DF-C4,(config) File metadata must be configured to improve the credibility of the file.,A file created for the purposes of deceiving an adversary.
D3-DF-C5,(config) Access alerts must be configured to trigger on decoy file interaction.,A file created for the purposes of deceiving an adversary.
D3-DF-C6,(config) The decoy file must be visible and accessible to potential adversaries.,A file created for the purposes of deceiving an adversary.
D3-DNR-I1,(input) A network segment or host must be available to deploy the decoy resource.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-I2,(input) The decoy service or network resource must be defined and prepared for deployment.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-I3,(input) Monitoring tools must be active to track interactions with the decoy resource.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-C4,(config) The decoy resource must be visible on the network to attract interaction.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-C5,(config) Access permissions must be configured to allow observation while preventing compromise.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DNR-C6,(config) Alerting and rate-limiting mechanisms must be configured to detect abuse or denial of service.,Deploying a network resource for the purposes of deceiving an adversary.
D3-DP-I1,"(input) A realistic decoy identity must be created, including a name, background, and behavioral attributes.","Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-I2,"(input) The necessary online platforms (e.g., email, social media) must be accessible for persona creation.","Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-I3,(input) Manual or automated interaction mechanisms must be configured to respond to adversary contact.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-C4,(config) The target platforms must allow the creation of the persona’s accounts.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-C5,(config) A strategy must be in place to maintain and update content posted by the persona to ensure realism.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DP-C6,(config) Operational security controls must be configured to prevent attribution of the persona to real users or systems.,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DPR-I1,(input) The media content must be crafted with realistic information and embedded identifiers to attract adversaries.,Issuing publicly released media to deceive adversaries.
D3-DPR-I2,(input) A public or semi-public platform must be available to distribute the decoy media.,Issuing publicly released media to deceive adversaries.
D3-DPR-I3,"(input) The media must contain embedded identifiers (e.g., URLs, contact points) that can be monitored.",Issuing publicly released media to deceive adversaries.
D3-DPR-C4,(config) Organizational approval and legal oversight must permit release of deceptive public content.,Issuing publicly released media to deceive adversaries.
D3-DPR-C5,(config) The system must be able to track interactions with the decoy public content.,Issuing publicly released media to deceive adversaries.
D3-DPR-C6,(config) Visual and contextual cues must be configured to mimic legitimate public releases.,Issuing publicly released media to deceive adversaries.
D3-DST-I1,(input) The session token must be created to appear structurally valid and realistic.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-I2,(input) The token must be associated with a simulated or staged environment.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-I3,(input) Monitoring infrastructure must be in place to detect token usage.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-C4,(config) The token must mimic a production lifecycle with expiration and renewal.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-C5,(config) An automated system must maintain and update the token to ensure realism.,An authentication token created for the purposes of deceiving an adversary.
D3-DST-C6,(config) Access control must ensure that the decoy token cannot access real systems.,An authentication token created for the purposes of deceiving an adversary.
D3-DUC-I1,(input) The decoy credentials must be generated to resemble authentic user credentials.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-I2,(input) The credentials must be exposed in a location where adversaries may encounter them.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-I3,(input) The system must be able to detect when the credential is used.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-C4,(config) The credentials must lead to access of a fake or monitored system.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-C5,(config) Rules must be in place to recognize and flag the use of decoy credentials.,A Credential created for the purpose of deceiving an adversary.
D3-DUC-C6,(config) Decoy systems and contexts using the credential must be kept up-to-date.,A Credential created for the purpose of deceiving an adversary.
D3-SYSVA-I1,(input) System components and configurations must be identified before performing assessment.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-I2,(input) Known vulnerability data must be available for the system's components.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-I3,(input) A system dependency model must be available to assess contextual and compound risks.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-C4,(config) The system vulnerability assessment tool must be configured to analyze multiple sources of risk.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-ANCI-I1,(input) The system must utilize an authentication cache that stores user tokens or credentials.,Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-ANCI-I2,(input) A credential must be cached and currently in use for the user session or access.,Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-ANCI-C3,(config) The authentication system must support invalidating or removing cached credentials or tokens.,Removing tokens or credentials from an authentication cache to prevent further user-associated account accesses.
D3-CR-I1,(input) The credential must exist in the system and be associated with a valid user or entity.,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-CR-I2,"(input) The credential must be identified as compromised, expired, or unauthorized.",Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-CR-C3,(config) A credential revocation policy must be in place to authorize permanent deletion under defined conditions.,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-DKE-I1,(input) The disk to be erased must be connected and accessible to the system.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKE-I2,(input) The disk must contain data to be securely erased.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKE-C3,(config) An erasure policy must exist that defines acceptable data sanitization standards.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
